4091120 zhining   20   0   13.8g   3.5g   2.9g S 235.3   5.5  10:28.67 db_bench
4091120 zhining   20   0   13.8g   3.5g   3.0g S 517.6   5.7  10:33.12 db_bench
4091120 zhining   20   0   13.8g   3.2g   2.7g S 417.6   5.2  10:38.01 db_bench
4091120 zhining   20   0   13.9g   3.6g   3.0g S 382.4   5.8  10:42.84 db_bench
4091120 zhining   20   0   13.9g   3.5g   2.9g S 535.3   5.6  10:47.95 db_bench
4091120 zhining   20   0   13.8g   3.4g   2.9g S 470.6   5.5  10:54.16 db_bench
4091120 zhining   20   0   13.8g   3.5g   2.9g S 105.9   5.6  10:58.20 db_bench
4091120 zhining   20   0   14.1g   3.6g   3.0g S 406.2   5.8  11:00.84 db_bench
4091120 zhining   20   0   14.2g   3.9g   3.3g S 288.9   6.3  11:04.59 db_bench
4091120 zhining   20   0   14.2g   3.9g   3.3g S 400.0   6.3  11:07.80 db_bench
4091120 zhining   20   0   14.2g   3.9g   3.3g S 323.5   6.3  11:11.33 db_bench
4091120 zhining   20   0   14.2g   3.9g   3.3g S 500.0   6.3  11:16.22 db_bench
4091120 zhining   20   0   14.2g   3.9g   3.3g S 370.6   6.3  11:21.13 db_bench
4091120 zhining   20   0   14.2g   3.9g   3.3g S 435.3   6.3  11:25.98 db_bench
4091120 zhining   20   0   14.2g   3.9g   3.3g S 376.5   6.3  11:30.94 db_bench
4091120 zhining   20   0   14.2g   3.9g   3.3g S 464.7   6.3  11:35.72 db_bench
4091120 zhining   20   0   14.2g   3.9g   3.3g S 558.8   6.3  11:41.32 db_bench
4091120 zhining   20   0   14.2g   3.9g   3.3g S 511.8   6.3  11:47.17 db_bench
4091120 zhining   20   0   14.2g   3.9g   3.3g S  61.1   6.3  11:51.17 db_bench
4091120 zhining   20   0   14.2g   3.9g   3.3g S 264.7   6.3  11:54.23 db_bench
4091120 zhining   20   0   14.2g   3.9g   3.3g S 247.1   6.3  11:57.43 db_bench
4091120 zhining   20   0   14.2g   3.9g   3.3g S 235.3   6.3  12:01.27 db_bench
4091120 zhining   20   0   14.2g   3.9g   3.3g S 205.9   6.3  12:04.53 db_bench
4091120 zhining   20   0   14.2g   3.9g   3.3g S 223.5   6.3  12:08.17 db_bench
4091120 zhining   20   0   14.2g   3.9g   3.3g S 294.1   6.3  12:12.23 db_bench
4091120 zhining   20   0   13.2g   2.9g   2.3g S 282.4   4.6  12:17.12 db_bench
4091120 zhining   20   0   13.3g   3.0g   2.4g S 276.5   4.9  12:20.25 db_bench
4091120 zhining   20   0   13.5g   3.2g   2.6g S 529.4   5.1  12:24.20 db_bench
4091120 zhining   20   0   13.9g   3.6g   3.0g S 370.6   5.8  12:30.09 db_bench
4091120 zhining   20   0   13.9g   3.6g   3.0g S 523.5   5.7  12:33.05 db_bench
4091120 zhining   20   0   14.0g   3.7g   3.1g S 600.0   5.9  12:38.50 db_bench
4091120 zhining   20   0   13.9g   3.6g   3.0g S 500.0   5.8  12:43.08 db_bench
4091120 zhining   20   0   13.9g   3.6g   3.0g S 388.9   5.8  12:48.43 db_bench
4091120 zhining   20   0   14.2g   3.9g   3.3g S 352.9   6.2  12:53.67 db_bench
4091120 zhining   20   0   14.1g   3.7g   3.1g S 435.3   6.0  12:58.99 db_bench
4091120 zhining   20   0   14.1g   3.8g   3.2g S 552.9   6.1  13:03.95 db_bench
4091120 zhining   20   0   14.1g   3.8g   3.2g S 605.9   6.1  13:08.52 db_bench
4091120 zhining   20   0   14.1g   3.8g   3.2g S 523.5   6.1  13:13.82 db_bench
