2914668 zhining   20   0   13.7g   2.5g   2.0g S  64.7   3.9   1:35.21 db_bench
2914668 zhining   20   0   13.7g   2.5g   2.0g S  50.0   3.9   1:35.92 db_bench
2914668 zhining   20   0   13.7g   2.5g   2.0g S  58.8   3.9   1:36.64 db_bench
2914668 zhining   20   0   13.7g   2.5g   2.0g S  64.7   3.9   1:37.37 db_bench
2914668 zhining   20   0   13.7g   2.5g   2.0g S  58.8   3.9   1:38.10 db_bench
2914668 zhining   20   0   13.7g   2.5g   2.0g S  58.8   3.9   1:38.82 db_bench
2914668 zhining   20   0   13.7g   2.5g   2.0g S  58.8   3.9   1:39.55 db_bench
2914668 zhining   20   0   13.7g   2.5g   2.0g S  64.7   3.9   1:40.29 db_bench
2914668 zhining   20   0   13.7g   2.5g   2.0g S  58.8   3.9   1:41.03 db_bench
2914668 zhining   20   0   13.7g   2.5g   2.0g S  61.1   3.9   1:41.76 db_bench
2914668 zhining   20   0   13.7g   2.5g   2.0g S  64.7   3.9   1:42.48 db_bench
2914668 zhining   20   0   13.7g   2.5g   2.0g S  64.7   3.9   1:43.20 db_bench
2914668 zhining   20   0   13.7g   2.5g   2.0g S  52.9   3.9   1:44.02 db_bench
2914668 zhining   20   0   13.7g   2.5g   2.0g S  58.8   3.9   1:44.70 db_bench
2914668 zhining   20   0   13.7g   2.5g   2.0g S  58.8   3.9   1:45.39 db_bench
2914668 zhining   20   0   13.7g   2.5g   2.0g S  58.8   3.9   1:46.05 db_bench
2914668 zhining   20   0   13.7g   2.5g   2.0g S  52.9   3.9   1:46.72 db_bench
2914668 zhining   20   0   13.7g   2.5g   2.0g S  50.0   3.9   1:47.39 db_bench
2914668 zhining   20   0   13.7g   2.5g   2.0g S  58.8   3.9   1:48.08 db_bench
2914668 zhining   20   0   13.7g   2.5g   2.0g S  52.9   3.9   1:48.75 db_bench
2914668 zhining   20   0   13.7g   2.5g   2.0g S  58.8   3.9   1:49.43 db_bench
2914668 zhining   20   0   13.7g   2.5g   2.0g S  58.8   3.9   1:50.12 db_bench
2914668 zhining   20   0   13.7g   2.5g   2.0g S  61.1   3.9   1:50.89 db_bench
2914668 zhining   20   0   13.7g   2.5g   2.0g S  70.6   3.9   1:51.71 db_bench
2914668 zhining   20   0   13.7g   2.5g   2.0g S  52.9   3.9   1:52.48 db_bench
2914668 zhining   20   0   13.7g   2.5g   2.0g S  58.8   3.9   1:53.14 db_bench
2914668 zhining   20   0   13.7g   2.5g   2.0g S  64.7   3.9   1:53.84 db_bench
2914668 zhining   20   0   13.7g   2.5g   2.0g S  70.6   3.9   1:54.66 db_bench
2914668 zhining   20   0   13.7g   2.5g   2.0g S  70.6   3.9   1:55.47 db_bench
2914668 zhining   20   0   13.7g   2.5g   2.0g S  52.9   3.9   1:56.20 db_bench
2914668 zhining   20   0   13.6g   1.6g   1.2g S 341.2   2.5   1:59.89 db_bench
2914668 zhining   20   0   13.6g   2.3g   1.9g S 382.4   3.7   2:04.03 db_bench
2914668 zhining   20   0   13.5g   2.1g   1.7g S 264.7   3.4   2:07.16 db_bench
2914668 zhining   20   0   13.5g   2.1g   1.7g S 276.5   3.3   2:09.99 db_bench
2914668 zhining   20   0   13.6g   2.1g   1.6g S 370.6   3.3   2:14.46 db_bench
2914668 zhining   20   0   13.8g   2.2g   1.8g S 211.8   3.5   2:18.24 db_bench
2914668 zhining   20   0   13.8g   2.6g   2.1g S  58.8   4.1   2:19.65 db_bench
2914668 zhining   20   0   13.9g   2.7g   2.3g S  75.0   4.3   2:20.50 db_bench
2914668 zhining   20   0   13.9g   2.8g   2.3g S 182.4   4.5   2:21.50 db_bench
2914668 zhining   20   0   13.9g   2.2g   1.8g S 170.6   3.5   2:24.11 db_bench
2914668 zhining   20   0   13.8g   2.4g   2.0g S 111.1   3.9   2:26.20 db_bench
2914668 zhining   20   0   13.8g   2.5g   2.0g S 162.5   3.9   2:28.07 db_bench
2914668 zhining   20   0   13.8g   2.7g   2.3g S 152.9   4.4   2:29.03 db_bench
2914668 zhining   20   0   13.8g   2.7g   2.3g S  35.3   4.4   2:31.39 db_bench
2914668 zhining   20   0   13.8g   2.7g   2.3g S 164.7   4.4   2:32.36 db_bench
2914668 zhining   20   0   13.7g   2.7g   2.2g S  35.3   4.3   2:33.29 db_bench
2914668 zhining   20   0   13.7g   2.7g   2.2g S  29.4   4.3   2:33.59 db_bench
2914668 zhining   20   0   13.7g   2.7g   2.2g S  17.6   4.3   2:34.04 db_bench
2914668 zhining   20   0   13.7g   2.7g   2.2g S  70.6   4.3   2:34.94 db_bench
2914668 zhining   20   0   13.7g   2.7g   2.2g S  64.7   4.3   2:35.77 db_bench
2914668 zhining   20   0   13.7g   2.7g   2.2g S  70.6   4.3   2:36.61 db_bench
2914668 zhining   20   0   13.7g   2.7g   2.2g S  66.7   4.3   2:37.46 db_bench
2914668 zhining   20   0   13.7g   2.7g   2.2g S  70.6   4.3   2:38.28 db_bench
2914668 zhining   20   0   13.7g   2.7g   2.2g S  64.7   4.3   2:39.10 db_bench
2914668 zhining   20   0   13.7g   2.7g   2.2g S  76.5   4.3   2:39.96 db_bench
2914668 zhining   20   0   13.7g   2.7g   2.2g S 135.3   4.3   2:40.91 db_bench
2914668 zhining   20   0   13.7g   2.7g   2.2g S  70.6   4.3   2:41.72 db_bench
2914668 zhining   20   0   13.7g   2.7g   2.2g S  55.6   4.3   2:42.49 db_bench
2914668 zhining   20   0   13.7g   2.7g   2.2g S  64.7   4.3   2:43.25 db_bench
2914668 zhining   20   0   13.7g   2.7g   2.2g S  76.5   4.3   2:44.13 db_bench
2914668 zhining   20   0   13.7g   2.7g   2.2g S  66.7   4.3   2:44.98 db_bench
2914668 zhining   20   0   13.7g   2.7g   2.2g S  70.6   4.3   2:45.78 db_bench
2914668 zhining   20   0   13.7g   2.7g   2.2g S  66.7   4.3   2:46.58 db_bench
2914668 zhining   20   0   13.7g   2.7g   2.2g S  64.7   4.3   2:47.36 db_bench
2914668 zhining   20   0   13.7g   2.7g   2.2g S  58.8   4.3   2:48.15 db_bench
2914668 zhining   20   0   13.7g   2.7g   2.2g S  64.7   4.3   2:48.93 db_bench
2914668 zhining   20   0   13.7g   2.7g   2.2g S  76.5   4.3   2:49.79 db_bench
2914668 zhining   20   0   13.7g   2.7g   2.2g S  76.5   4.3   2:50.69 db_bench
2914668 zhining   20   0   13.7g   2.7g   2.2g S  58.8   4.3   2:51.63 db_bench
2914668 zhining   20   0   13.7g   2.7g   2.2g S  58.8   4.3   2:52.35 db_bench
2914668 zhining   20   0   13.7g   2.7g   2.2g S  64.7   4.3   2:53.10 db_bench
2914668 zhining   20   0   13.7g   2.7g   2.2g S  61.1   4.3   2:53.84 db_bench
2914668 zhining   20   0   13.7g   2.7g   2.2g S  41.2   4.3   2:54.55 db_bench
2914668 zhining   20   0   13.7g   2.7g   2.2g S  64.7   4.3   2:55.31 db_bench
2914668 zhining   20   0   13.7g   2.7g   2.2g S  58.8   4.3   2:56.04 db_bench
2914668 zhining   20   0   13.7g   2.7g   2.2g S  64.7   4.3   2:56.78 db_bench
2914668 zhining   20   0   13.7g   2.7g   2.2g S  64.7   4.3   2:57.52 db_bench
2914668 zhining   20   0   13.7g   2.7g   2.2g S  70.6   4.3   2:58.33 db_bench
